participant_id,condition,counterbalance_list,phase,trial_index,trial_index_global,pair_id,stimulus_id,mechanism,integrity,provenance_condition,transfer_type,trust_pre,misleading_pre,confidence_pre,trust_post,misleading_post,confidence_post,initial_response_time_ms,intervention_time_ms,locate_time_ms,explain_time_ms,verify_time_ms,compare_time_ms,trial_total_time_ms,detection_correct,false_positive,false_negative,belief_revision
MV-00000007,egvv,D,transfer,3,19,T-06,S206.svg,pie-3d,accurate,,far,80,no,46,,,,11032,,,,,,31343,True,False,False,
MV-00000007,egvv,D,transfer,4,20,T-04,S204.svg,cherry-picked-time,accurate,,near,83,no,45,,,,8277,,,,,,27932,True,False,False,
MV-00000007,egvv,D,transfer,5,21,T-01,S201.svg,color-emphasis,accurate,,near,64,no,57,,,,13228,,,,,,28744,True,False,False,
MV-00000008,control,A,baseline,0,0,B-01,S101.svg,truncated-axis,accurate,,,75,no,82,,,,7176,,,,,,20265,True,False,False,
MV-00000008,control,A,baseline,1,1,B-03,S103.svg,hidden-uncertainty,accurate,,,64,no,70,,,,4099,,,,,,10989,True,False,False,
MV-00000008,control,A,baseline,2,2,B-04,S104.svg,area-distortion,misleading,,,45,yes,46,,,,9105,,,,,,34600,True,False,False,
MV-00000008,control,A,baseline,3,3,B-02,S102.svg,cherry-picked-time,misleading,,,48,yes,77,,,,12201,,,,,,26405,True,False,False,
MV-00000008,control,A,main,0,4,TA-01,S001.svg,truncated-axis,accurate,ai-assisted,,76,no,66,81,no,88,8793,10929,,,,,36445,True,False,False,5
MV-00000008,control,A,main,1,5,CP-01,S006.svg,cherry-picked-time,misleading,ai-assisted,,43,no,78,32,no,46,8119,13468,,,,,24626,False,False,True,-11
MV-00000008,control,A,main,2,6,CP-02,S008.svg,cherry-picked-time,misleading,none,,53,yes,70,50,yes,62,6674,17850,,,,,26227,True,False,False,-3
MV-00000008,control,A,main,3,7,AD-02,S016.svg,area-distortion,misleading,none,,63,yes,57,56,yes,67,12406,17847,,,,,26381,True,False,False,-7
MV-00000008,control,A,main,4,8,HU-01,S009.svg,hidden-uncertainty,accurate,ai-assisted,,90,no,82,92,no,41,14361,6955,,,,,16954,True,False,False,2
MV-00000008,control,A,main,5,9,HU-02,S011.svg,hidden-uncertainty,accurate,none,,74,unsure,62,75,unsure,49,3100,13278,,,,,29539,False,False,False,1
MV-00000008,control,A,main,6,10,MT-01,S022.svg,misleading-title,misleading,ai-assisted,,65,yes,87,65,yes,45,13373,16224,,,,,25382,True,False,False,0
MV-00000008,control,A,main,7,11,MT-02,S024.svg,misleading-title,misleading,none,,53,yes,69,48,yes,63,8585,9105,,,,,31645,True,False,False,-5
MV-00000008,control,A,main,8,12,TA-02,S003.svg,truncated-axis,accurate,none,,75,no,76,75,no,43,12768,6549,,,,,13158,True,False,False,0
MV-00000008,control,A,main,9,13,AD-01,S014.svg,area-distortion,misleading,ai-assisted,,79,yes,45,65,yes,82,7458,10947,,,,,23914,True,False,False,-14
MV-00000008,control,A,main,10,14,CE-02,S019.svg,color-emphasis,accurate,none,,83,no,53,83,no,62,11394,11043,,,,,11633,True,False,False,0
MV-00000008,control,A,main,11,15,CE-01,S017.svg,color-emphasis,accurate,ai-assisted,,73,no,77,77,no,82,10972,9053,,,,,9488,True,False,False,4
MV-00000008,control,A,transfer,0,16,T-02,S202.svg,misleading-title,misleading,,near,54,yes,78,,,,3897,,,,,,8251,True,False,False,
MV-00000008,control,A,transfer,1,17,T-01,S201.svg,color-emphasis,accurate,,near,68,no,53,,,,5248,,,,,,33040,True,False,False,
MV-00000008,control,A,transfer,2,18,T-03,S203.svg,truncated-axis,misleading,,near,56,yes,47,,,,3126,,,,,,24298,True,False,False,
MV-00000008,control,A,transfer,3,19,T-05,S205.svg,dual-axis,misleading,,far,67,yes,64,,,,11725,,,,,,31057,True,False,False,
MV-00000008,control,A,transfer,4,20,T-06,S206.svg,pie-3d,accurate,,far,69,no,82,,,,8802,,,,,,10361,True,False,False,
MV-00000008,control,A,transfer,5,21,T-04,S204.svg,cherry-picked-time,accurate,,near,80,unsure,42,,,,10147,,,,,,8614,False,False,False,
MV-00000009,egvv,B,baseline,0,0,B-04,S104.svg,area-distortion,misleading,,,73,yes,59,,,,8562,,,,,,15260,True,False,False,
MV-00000009,egvv,B,baseline,1,1,B-02,S102.svg,cherry-picked-time,misleading,,,61,unsure,44,,,,11363,,,,,,28749,False,False,True,
MV-00000009,egvv,B,baseline,2,2,B-01,S101.svg,truncated-axis,accurate,,,62,no,52,,,,8724,,,,,,19504,True,False,False,
MV-00000009,egvv,B,baseline,3,3,B-03,S103.svg,hidden-uncertainty,accurate,,,64,no,49,,,,7193,,,,,,14464,True,False,False,
MV-00000009,egvv,B,main,0,4,HU-02,S012.svg,hidden-uncertainty,misleading,ai-assisted,,51,unsure,88,34,yes,61,13739,19585,5165,4572,4023,3900,32721,True,False,False,-17
MV-00000009,egvv,B,main,1,5,CE-02,S020.svg,color-emphasis,misleading,ai-assisted,,76,unsure,68,32,yes,86,14159,14534,4602,4558,3323,5539,39816,True,False,False,-44
MV-00000009,egvv,B,main,2,6,CE-01,S017.svg,color-emphasis,accurate,none,,75,no,44,84,no,90,10682,8961,5261,3125,4422,2230,19532,True,False,False,9
MV-00000009,egvv,B,main,3,7,AD-02,S015.svg,area-distortion,accurate,ai-assisted,,87,no,69,83,no,53,10404,10041,5406,3175,2314,4640,36319,True,False,False,-4
MV-00000009,egvv,B,main,4,8,CP-01,S006.svg,cherry-picked-time,misleading,none,,45,unsure,72,16,yes,87,9299,13081,5908,5243,5026,5669,9344,True,False,False,-29
MV-00000009,egvv,B,main,5,9,TA-01,S001.svg,truncated-axis,accurate,none,,83,unsure,76,84,no,70,13679,13912,3948,4053,2617,5922,10027,True,False,False,1
MV-00000009,egvv,B,main,6,10,CP-02,S007.svg,cherry-picked-time,accurate,ai-assisted,,83,no,61,80,no,82,14703,14586,2706,2160,3014,4898,22344,True,False,False,-3
MV-00000009,egvv,B,main,7,11,TA-02,S004.svg,truncated-axis,misleading,ai-assisted,,68,yes,79,42,yes,73,5600,19039,3158,3586,3674,5172,19087,True,False,False,-26
MV-00000009,egvv,B,main,8,12,HU-01,S009.svg,hidden-uncertainty,accurate,none,,58,no,81,55,no,71,8482,5548,4285,4778,3583,3163,16257,True,False,False,-3
MV-00000009,egvv,B,main,9,13,AD-01,S014.svg,area-distortion,misleading,none,,82,no,78,57,yes,55,5463,13547,4718,2579,5754,3432,18165,True,False,False,-25
MV-00000009,egvv,B,main,10,14,MT-01,S022.svg,misleading-title,misleading,none,,81,unsure,65,47,yes,95,5112,19368,2347,3268,4289,3542,29085,True,False,False,-34
MV-00000009,egvv,B,main,11,15,MT-02,S023.svg,misleading-title,accurate,ai-assisted,,76,unsure,82,73,no,91,14515,14984,3734,4082,3482,2074,19881,True,False,False,-3
MV-00000009,egvv,B,transfer,0,16,T-06,S206.svg,pie-3d,accurate,,far,74,no,53,,,,8598,,,,,,39053,True,False,False,
MV-00000009,egvv,B,transfer,1,17,T-05,S205.svg,dual-axis,misleading,,far,71,yes,48,,,,5538,,,,,,10528,True,False,False,
MV-00000009,egvv,B,transfer,2,18,T-03,S203.svg,truncated-axis,misleading,,near,58,no,46,,,,11317,,,,,,33260,False,False,True,
MV-00000009,egvv,B,transfer,3,19,T-04,S204.svg,cherry-picked-time,accurate,,near,89,unsure,73,,,,3618,,,,,,29690,False,False,False,
MV-00000009,egvv,B,transfer,4,20,T-02,S202.svg,misleading-title,misleading,,near,61,no,79,,,,5147,,,,,,27570,False,False,True,
MV-00000009,egvv,B,transfer,5,21,T-01,S201.svg,color-emphasis,accurate,,near,79,no,51,,,,14351,,,,,,33267,True,False,False,
